Welcome
SampleRate (Hz): Base: A0 0 27.5Hz, to A0, 4096Hz 0x1000
Base: A0 0 27.5Hz, to A♯0, 4339.56Hz 0x10f4
Base: A0 0 27.5Hz, to B0, 4597.6Hz 0x11f6
Base: A0 0 27.5Hz, to C1, 4870.99Hz 0x1307
Base: A0 0 27.5Hz, to C♯1, 5160.63Hz 0x1429
Base: A0 0 27.5Hz, to D1, 5467.5Hz 0x155c
Base: A0 0 27.5Hz, to D♯1, 5792.62Hz 0x16a1
Base: A0 0 27.5Hz, to E1, 6137.06Hz 0x17f9
Base: A0 0 27.5Hz, to F1, 6501.99Hz 0x1966
Base: A0 0 27.5Hz, to F♯1, 6888.62Hz 0x1ae9
Base: A0 0 27.5Hz, to G1, 7298.24Hz 0x1c82
Base: A0 0 27.5Hz, to G♯1, 7732.22Hz 0x1e34
Base: A0 0 27.5Hz, to A1, 8192Hz 0x2000
Base: A0 0 27.5Hz, to A♯1, 8679.13Hz 0x21e7
Base: A0 0 27.5Hz, to B1, 9195.21Hz 0x23eb
Base: A0 0 27.5Hz, to C2, 9741.99Hz 0x260e
Base: A0 0 27.5Hz, to C♯2, 10321.3Hz 0x2851
Base: A0 0 27.5Hz, to D2, 10935Hz 0x2ab7
Base: A0 0 27.5Hz, to D♯2, 11585.2Hz 0x2d41
Base: A0 0 27.5Hz, to E2, 12274.1Hz 0x2ff2
Base: A0 0 27.5Hz, to F2, 13004Hz 0x32cc
Base: A0 0 27.5Hz, to F♯2, 13777.2Hz 0x35d1
Base: A0 0 27.5Hz, to G2, 14596.5Hz 0x3904
Base: A0 0 27.5Hz, to G♯2, 15464.4Hz 0x3c68
Base: A0 0 27.5Hz, to A2, 16384Hz 0x3fff
Base: A♯0 1 29.1352Hz, to A0, 3866.11Hz 0xf1a
Base: A♯0 1 29.1352Hz, to A♯0, 4096Hz 0x1000
Base: A♯0 1 29.1352Hz, to B0, 4339.56Hz 0x10f4
Base: A♯0 1 29.1352Hz, to C1, 4597.61Hz 0x11f6
Base: A♯0 1 29.1352Hz, to C♯1, 4870.99Hz 0x1307
Base: A♯0 1 29.1352Hz, to D1, 5160.64Hz 0x1429
Base: A♯0 1 29.1352Hz, to D♯1, 5467.51Hz 0x155c
Base: A♯0 1 29.1352Hz, to E1, 5792.62Hz 0x16a1
Base: A♯0 1 29.1352Hz, to F1, 6137.07Hz 0x17f9
Base: A♯0 1 29.1352Hz, to F♯1, 6502Hz 0x1966
Base: A♯0 1 29.1352Hz, to G1, 6888.63Hz 0x1ae9
Base: A♯0 1 29.1352Hz, to G♯1, 7298.25Hz 0x1c82
Base: A♯0 1 29.1352Hz, to A1, 7732.23Hz 0x1e34
Base: A♯0 1 29.1352Hz, to A♯1, 8192.01Hz 0x2000
Base: A♯0 1 29.1352Hz, to B1, 8679.13Hz 0x21e7
Base: A♯0 1 29.1352Hz, to C2, 9195.22Hz 0x23eb
Base: A♯0 1 29.1352Hz, to C♯2, 9742Hz 0x260e
Base: A♯0 1 29.1352Hz, to D2, 10321.3Hz 0x2851
Base: A♯0 1 29.1352Hz, to D♯2, 10935Hz 0x2ab7
Base: A♯0 1 29.1352Hz, to E2, 11585.3Hz 0x2d41
Base: A♯0 1 29.1352Hz, to F2, 12274.2Hz 0x2ff2
Base: A♯0 1 29.1352Hz, to F♯2, 13004Hz 0x32cc
Base: A♯0 1 29.1352Hz, to G2, 13777.3Hz 0x35d1
Base: A♯0 1 29.1352Hz, to G♯2, 14596.5Hz 0x3904
Base: A♯0 1 29.1352Hz, to A2, 15464.5Hz 0x3c68
Base: A♯0 1 29.1352Hz, to A♯2, 16384Hz 0x3fff
